Ann‚e faits;Montant total;Date faits;Cat‚gorie;Langue;RŠglement;Infractions;Lieu
2020;58,00 ?;27-02-20;Stationnement;Fran‡ais;REGLEMENT GENERAL DE POLICE COMMUN AUX 19 COMMUNES BRUXELLOISES;77.5;Rue Jules Cockx, 9 1160 AUDERGHEM
2020;58,00 ?;27-02-20;Stationnement;Fran‡ais;AUDERGHEM-RGP;77.5;Rue Jules Cockx 9, 1160 AUDERGHEM
2020;350,00 ?;27-02-20;Administrative;Fran‡ais;AUDERGHEM-RGP;22;Chauss‚e de Wavre F1411, 1160 AUDERGHEM
2020;175,00 ?;27-02-20;Administrative;Fran‡ais;Code de la route;44;Chauss‚e de Wavre 1386, 1160 AUDERGHEM
2020;58,00 ?;28-02-20;Stationnement;Fran‡ais;AUDERGHEM-RGP;70.2.1.1ø;Boulevard du Triomphe 54, 1160 AUDERGHEM
2020;58,00 ?;28-02-20;Stationnement;Fran‡ais;Code de la route;70.2.1.1ø;Boulevard du Triomphe 54, 1160 AUDERGHEM
2020;58,00 ?;28-02-20;Stationnement;Fran‡ais;AUDERGHEM-RGP;70.2.1.1ø;Chauss‚e de Wavre 1745, 1160 AUDERGHEM
2020;116,00 ?;28-02-20;Stationnement;N‚erlandais;Code de la route;24.al.1;Invalidenlaan 54, 1160 OUDERGEM
2020;58,00 ?;28-02-20;Stationnement;Fran‡ais;AUDERGHEM-RGP;70.2.1.1ø;Boulevard du Triomphe 54, 1160 AUDERGHEM
2020;175,00 ?;28-02-20;Administrative;Fran‡ais;REGLEMENT GENERAL DE POLICE COMMUN AUX 19 COMMUNES BRUXELLOISES;14õ2 + 121;Chauss‚e de Wavre 1034, 1160 AUDERGHEM
2020;0,00 ?;28-02-20;Stationnement;N‚erlandais;REGLEMENT GENERAL DE POLICE COMMUN AUX 19 COMMUNES BRUXELLOISES;24.al.1;Invalidenlaan 54, 1160 OUDERGEM
